date,day,time
2016/01/05,Tuesday,57:17
2016/01/29,Friday,51:35
2016/02/01,Monday,4:20
2016/02/02,Tuesday,25:48
2016/02/08,Monday,23:06
2016/03/14,Monday,21:50
2016/03/21,Monday,11:25
2016/03/28,Monday,4:20
2016/03/29,Tuesday,33:55
2016/05/08,Sunday,2:12:54
2016/05/09,Monday,14:22
2016/05/10,Tuesday,29:05
2016/05/11,Wednesday,17:52
2016/05/23,Monday,5:53
2016/05/25,Wednesday,31:31
2016/05/31,Tuesday,11:57
2016/06/03,Friday,51:24
2016/06/06,Monday,12:30
2016/06/12,Sunday,1:14:08
2016/06/21,Tuesday,7:20
2016/07/19,Tuesday,26:33
2016/07/22,Friday,1:16:03
2016/07/25,Monday,7:03
2016/07/26,Tuesday,15:06
2016/07/27,Wednesday,52:43
2016/07/30,Saturday,18:41
2016/08/01,Monday,6:58
2016/08/02,Tuesday,32:01
2016/08/03,Wednesday,27:12
2016/08/04,Thursday,38:56
2016/08/05,Friday,52:45
2016/08/06,Saturday,33:34
2016/08/07,Sunday,1:12:22
2016/08/08,Monday,12:19
2016/08/09,Tuesday,10:03
2016/08/10,Wednesday,44:04
2016/08/11,Thursday,34:36
2016/08/15,Monday,6:13
2016/08/16,Tuesday,8:25
2016/08/17,Wednesday,26:40
2016/09/01,Thursday,20:31
2016/09/12,Monday,9:33
2016/09/13,Tuesday,16:44
2016/11/04,Friday,14:16
2016/11/09,Wednesday,4:57
2016/11/16,Wednesday,13:47
2016/11/18,Friday,29:35
2016/11/19,Saturday,38:50
2016/12/20,Tuesday,5:05
2016/12/23,Friday,43:17
2016/12/24,Saturday,55:54
2016/12/25,Sunday,1:28:24
2016/12/27,Tuesday,11:29
2016/12/29,Thursday,43:02
2016/12/30,Friday,37:27
2017/01/03,Tuesday,21:32
2017/01/06,Friday,55:52
2017/01/07,Saturday,1:27:59
2017/01/08,Sunday,1:26:40
2017/01/09,Monday,6:18
2017/01/12,Thursday,21:18
2017/01/15,Sunday,30:52
2017/01/16,Monday,11:42
2017/01/17,Tuesday,9:20
2017/01/18,Wednesday,10:21
2017/01/19,Thursday,36:13
2017/01/23,Monday,9:00
2017/01/24,Tuesday,11:28
2017/01/30,Monday,7:03
2017/02/07,Tuesday,6:42
2017/02/08,Wednesday,4:07
2017/02/09,Thursday,20:19
2017/02/10,Friday,16:13
2017/02/13,Monday,8:24
2017/02/21,Tuesday,8:22
2017/02/25,Saturday,34:57
2017/03/09,Thursday,29:09
2017/03/10,Friday,26:09
2017/03/13,Monday,11:10
2017/03/14,Tuesday,11:21
2017/03/15,Wednesday,21:33
2017/03/16,Thursday,19:24
2017/03/17,Friday,37:34
2017/03/18,Saturday,54:17
2017/03/19,Sunday,52:12
2017/03/20,Monday,7:55
2017/03/21,Tuesday,8:06
2017/04/11,Tuesday,5:43
2017/04/18,Tuesday,11:01
2017/05/01,Monday,9:09
2017/06/14,Wednesday,18:39
2017/06/15,Thursday,20:15
2017/06/19,Monday,6:59
2017/06/20,Tuesday,15:56
2017/06/26,Monday,6:53
2017/06/27,Tuesday,12:36
2017/07/17,Monday,6:59
2017/07/18,Tuesday,17:27
2017/07/20,Thursday,28:28
2017/07/26,Wednesday,26:15
2017/07/29,Saturday,56:11
2017/07/30,Sunday,1:02:35
2017/08/02,Wednesday,17:52
2017/08/03,Thursday,36:29
2017/08/05,Saturday,40:49
2017/08/07,Monday,6:44
2017/08/08,Tuesday,13:18
2017/08/09,Wednesday,16:17
2017/08/10,Thursday,36:28
2017/08/11,Friday,36:09
2017/08/12,Saturday,35:53
2017/08/14,Monday,7:06
2017/08/15,Tuesday,11:27
2017/08/16,Wednesday,17:51
2017/08/21,Monday,6:44
2017/08/22,Tuesday,13:09
2017/08/23,Wednesday,10:46
2017/08/25,Friday,31:31
2017/08/28,Monday,7:38
2017/09/12,Tuesday,18:02
2017/09/13,Wednesday,16:35
2017/09/15,Friday,33:50
2017/09/18,Monday,5:43
2017/09/19,Tuesday,17:13
2017/09/20,Wednesday,34:05
2017/09/22,Friday,56:28
2017/09/25,Monday,7:47
2017/09/26,Tuesday,10:56
2017/09/27,Wednesday,29:25
2017/09/29,Friday,13:20
2017/10/02,Monday,5:20
2017/10/03,Tuesday,12:16
2017/10/04,Wednesday,18:18
2017/10/05,Thursday,19:44
2017/10/08,Sunday,23:45
2017/10/09,Monday,6:29
2017/10/10,Tuesday,8:30
2017/10/11,Wednesday,9:48
2017/10/12,Thursday,29:17
2017/10/13,Friday,19:30
2017/10/14,Saturday,19:46
2017/10/16,Monday,7:30
2017/10/17,Tuesday,8:03
2017/10/18,Wednesday,17:00
2017/10/19,Thursday,31:01
2017/10/21,Saturday,35:23
2017/10/29,Sunday,39:17
2017/10/30,Monday,9:47
2017/11/01,Wednesday,19:53
2017/11/02,Thursday,24:47
2017/11/03,Friday,12:03
2017/11/06,Monday,5:31
2017/11/13,Monday,12:16
2017/11/14,Tuesday,12:33
2017/11/17,Friday,21:46
2017/11/18,Saturday,23:50
2017/11/21,Tuesday,8:08
2017/11/26,Sunday,42:18
2017/11/27,Monday,7:34
2017/11/29,Wednesday,10:21
2017/12/01,Friday,12:58
2017/12/04,Monday,5:50
2017/12/05,Tuesday,8:14
2017/12/06,Wednesday,8:45
2017/12/08,Friday,16:23
2017/12/11,Monday,5:59
2017/12/12,Tuesday,15:48
2017/12/14,Thursday,12:58
2017/12/15,Friday,17:41
2017/12/18,Monday,15:56
2017/12/20,Wednesday,10:16
2017/12/21,Thursday,29:55
2017/12/26,Tuesday,10:29
2017/12/28,Thursday,17:10
2018/01/01,Monday,12:12
2018/01/02,Tuesday,5:05
2018/01/03,Wednesday,10:45
2018/01/04,Thursday,17:22
2018/01/05,Friday,31:48
2018/01/11,Thursday,27:18
2018/01/13,Saturday,24:54
2018/01/15,Monday,5:05
2018/01/29,Monday,5:42
2018/01/30,Tuesday,14:10
2018/02/01,Thursday,13:03
2018/02/05,Monday,5:53
2018/02/07,Wednesday,16:08
2018/02/08,Thursday,9:33
2018/02/12,Monday,3:06
2018/02/13,Tuesday,11:23
2018/03/05,Monday,7:24
2018/03/14,Wednesday,9:28
2018/04/21,Saturday,19:52
2018/06/29,Friday,14:52
2018/06/30,Saturday,20:06
2018/07/02,Monday,4:48
2018/07/03,Tuesday,9:02
2018/07/26,Thursday,11:04
2018/07/30,Monday,8:33
2018/08/06,Monday,4:58
2018/08/28,Tuesday,10:48
2018/09/15,Saturday,14:18
2018/10/12,Friday,24:48
2018/10/19,Friday,20:11
2018/11/04,Sunday,33:44
2018/11/05,Monday,5:46
2018/11/06,Tuesday,7:29
2018/11/07,Wednesday,11:27
2018/11/10,Saturday,28:08
2018/11/13,Tuesday,10:39
2018/11/15,Thursday,23:05
2018/11/16,Friday,12:17
2018/11/18,Sunday,48:28
2018/11/19,Monday,7:41
2018/11/26,Monday,6:14
2018/11/27,Tuesday,10:18
2018/12/03,Monday,5:07
2018/12/09,Sunday,13:42
2018/12/10,Monday,6:11
2018/12/11,Tuesday,8:43
2018/12/12,Wednesday,8:42
2018/12/15,Saturday,27:29
2018/12/17,Monday,5:27
2018/12/18,Tuesday,7:03
2018/12/19,Wednesday,11:21
2018/12/31,Monday,9:35
2019/01/01,Tuesday,8:46
2019/01/02,Wednesday,18:12
2019/01/03,Thursday,23:48
2019/01/04,Friday,24:34
2019/01/07,Monday,9:20
2019/01/08,Tuesday,5:10
2019/01/09,Wednesday,10:48
2019/01/10,Thursday,10:38
2019/01/16,Wednesday,9:41
2019/01/17,Thursday,16:23
2019/01/18,Friday,36:28
2019/01/19,Saturday,11:37
2019/01/20,Sunday,23:01
2019/01/21,Monday,4:29
2019/01/22,Tuesday,14:33
2019/01/23,Wednesday,7:44
2019/01/24,Thursday,14:19
2019/01/26,Saturday,9:36
2019/01/27,Sunday,24:43
2019/01/28,Monday,5:41
2019/01/29,Tuesday,5:03
2019/01/30,Wednesday,6:13
2019/01/31,Thursday,11:42
2019/02/01,Friday,11:10
2019/02/02,Saturday,35:40
2019/02/04,Monday,5:58
2019/02/05,Tuesday,6:48
2019/02/06,Wednesday,5:22
2019/02/07,Thursday,17:52
2019/02/08,Friday,32:59
2019/02/09,Saturday,21:34
2019/02/10,Sunday,34:28
2019/02/11,Monday,6:18
2019/02/12,Tuesday,5:27
2019/02/14,Thursday,12:07
2019/02/18,Monday,6:40
2019/02/19,Tuesday,6:40
2019/02/23,Saturday,9:53
2019/02/24,Sunday,17:19
2019/02/25,Monday,4:59
2019/02/26,Tuesday,7:28
2019/02/28,Thursday,12:07
2019/03/01,Friday,14:41
2019/03/02,Saturday,30:15
